level_0,index,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
5622,5622,2023-02-02,C,Louisiana Tech,CUSA,Rice,H,"W, 80-72",116.2,105.1,66.1,121,56.9,12.1,21.2,27.6,108.9,54.5,22.7,37.5,25,76,10
6294,6294,2023-02-02,C,FIU,CUSA,Charlotte,A,"W, 57-54",102.4,91.6,57.1,99.8,53.2,19.3,25,21.3,94.5,38.8,15.8,30.3,40.8,78.2,1
206,206,2023-02-02,C,Gonzaga,WCC,Santa Clara,H,"W, 88-70",137,98.5,66.8,131.7,66.1,16.5,40.7,23.7,104.7,46.7,16.5,32.4,31.7,97.8,13
6989,6989,2023-02-02,C,Northwestern St.,Slnd,Houston Christian,A,"W, 94-76",109.1,103,75.6,124.3,64.2,17.2,26.7,33.3,100.5,51,25.1,21.2,62,65.8,10
10627,10627,2023-02-02,C,Eastern Illinois,OVC,Lindenwood,A,"L, 80-67",103.1,141.5,61,109.8,59.6,19.7,27.6,21.2,131.1,62.3,14.7,40,9.8,2.6,-8
5672,5672,2023-02-03,C,Quinnipiac,MAAC,Fairfield,H,"W, 66-51",92,86.7,66.8,98.8,52.5,23.9,41.4,4.9,76.3,34.1,16.5,29.3,17.5,66.2,3
9539,9539,2023-02-03,C,Manhattan,MAAC,Siena,H,"W, 71-66",94.3,97.9,64.7,97.5,50,20.6,17.1,69.4,90.6,42.4,22,32.5,33.9,39.2,-1
10363,10363,2023-02-03,C,Columbia,Ivy,Penn,A,"L, 74-65",95.6,105.1,67.2,96.8,42.6,10.4,25,26.2,110.2,48.1,22.3,44.1,57.4,25.3,-8
3657,3657,2023-02-03,C,Princeton,Ivy,Cornell,H,"W, 89-82",107.8,107.3,75.4,118.1,66,22.6,25,60,108.8,53.1,14.6,26.3,30.8,51.4,-1
238,238,2023-02-03,C,San Diego St.,MWC,Boise St.,H,"W, 72-52",119.8,74,66.5,108.3,54.9,15,19.2,45.1,78.2,38.5,18.1,18.4,36.5,99.6,14
8112,8112,2023-02-03,C,Fairfield,MAAC,Quinnipiac,A,"L, 66-51",81.1,94,66.8,76.3,34.1,16.5,29.3,17.5,98.8,52.5,23.9,41.4,4.9,15.5,-3
5761,5761,2023-02-03,C,Harvard,Ivy,Yale,H,"L, 68-57",90.8,104.4,64.6,88.3,43.6,21.7,23.3,46.8,105.3,51.8,18.6,33.3,21.1,16.7,-9
2289,2289,2023-02-03,C,Iona,MAAC,Mount St. Mary's,H,"W, 81-51",114,79.7,69.7,116.3,59.8,18.7,32.1,35.7,73.2,40.5,28.7,28.9,10.3,98.4,18
7852,7852,2023-02-03,C,Niagara,MAAC,Canisius,H,"W, 76-73",110.5,119,64.8,117.2,50.8,10.8,29.4,35.6,112.6,53.3,9.3,26.5,19.7,29.9,0
2953,2953,2023-02-03,C,UNLV,MWC,Fresno St.,H,"L, 82-79",122.2,123,67.3,117.4,51.9,19.3,38.7,51.9,121.9,57.8,22.3,48.3,58.8,48.2,0
8010,8010,2023-02-03,C,Dartmouth,Ivy,Brown,H,"L, 73-61",93.1,116.2,66.7,91.5,43.2,16.5,25,20.3,109.5,57.8,24,25.9,31.4,7.3,-9
5357,5357,2023-02-03,C,Ball St.,MAC,Eastern Michigan,H,"W, 91-90",106.6,120,69.4,116.6,61.3,16.7,22.2,38.7,115.3,58.8,10.2,11.8,17.6,20.4,2
6828,6828,2023-02-03,C,Rider,MAAC,Saint Peter's,H,"W, 82-61",119.5,96.8,67.1,122.2,62.5,20.9,33.3,58.3,90.9,41.8,17.9,19.4,51,91.8,17
2103,2103,2023-02-03,C,VCU,A10,Saint Louis,A,"W, 73-65",107.4,91.9,67.7,107.9,49.2,14.8,25.7,30.5,96,55.6,20.7,17.2,14.8,85.7,1
9556,9556,2023-02-03,C,Eastern Michigan,MAC,Ball St.,A,"L, 91-90",112.8,112.7,69.4,115.3,58.8,10.2,11.8,17.6,116.6,61.3,16.7,22.2,38.7,50.3,-2
3953,3953,2023-02-03,C,Fresno St.,MWC,UNLV,A,"W, 82-79",128.7,113.9,67.3,121.9,57.8,22.3,48.3,58.8,117.4,51.9,19.3,38.7,51.9,80.4,0
5227,5227,2023-02-03,C,Brown,Ivy,Dartmouth,A,"W, 73-61",109,93.7,66.7,109.5,57.8,24,25.9,31.4,91.5,43.2,16.5,25,20.3,85.1,9
3435,3435,2023-02-03,C,Akron,MAC,Kent St.,H,"W, 67-55",113.9,87.8,62,108,52.2,21,30.8,55.6,88.6,42.9,17.7,26.3,19.6,95.3,6
4157,4157,2023-02-03,C,Air Force,MWC,Nevada,A,"L, 72-52",98.7,105.4,61,85.3,52.2,23,12.9,26.7,118.1,52.2,11.5,25.9,69.6,32.1,-5
4956,4956,2023-02-03,C,Cornell,Ivy,Princeton,A,"L, 89-82",115,109.9,75.4,108.8,53.1,14.6,26.3,30.8,118.1,66,22.6,25,60,62.7,1
3092,3092,2023-02-03,C,Saint Louis,A10,VCU,H,"L, 73-65",108.9,105.4,67.7,96,55.6,20.7,17.2,14.8,107.9,49.2,14.8,25.7,30.5,59.2,-1
1013,1013,2023-02-03,C,Boise St.,MWC,San Diego St.,A,"L, 72-52",90.1,100,66.5,78.2,38.5,18.1,18.4,36.5,108.3,54.9,15,19.2,45.1,23,-14
2533,2533,2023-02-03,C,Kent St.,MAC,Akron,A,"L, 67-55",91.8,101.4,62,88.6,42.9,17.7,26.3,19.6,108,52.2,21,30.8,55.6,24.1,-6
6790,6790,2023-02-03,C,Siena,MAAC,Manhattan,A,"L, 71-66",90.5,101.7,64.7,90.6,42.4,22,32.5,33.9,97.5,50,20.6,17.1,69.4,20.7,1
1876,1876,2023-02-03,C,Nevada,MWC,Air Force,H,"W, 72-52",112.6,90.7,61,118.1,52.2,11.5,25.9,69.6,85.3,52.2,23,12.9,26.7,92.3,5
2611,2611,2023-02-03,C,Yale,Ivy,Harvard,A,"W, 68-57",112.5,89.5,64.6,105.3,51.8,18.6,33.3,21.1,88.3,43.6,21.7,23.3,46.8,93.3,9
7675,7675,2023-02-03,C,Canisius,MAAC,Niagara,A,"L, 76-73",111.7,118.5,64.8,112.6,53.3,9.3,26.5,19.7,117.2,50.8,10.8,29.4,35.6,33.6,0
3752,3752,2023-02-03,C,Penn,Ivy,Columbia,H,"W, 74-65",104.2,106.7,67.2,110.2,48.1,22.3,44.1,57.4,96.8,42.6,10.4,25,26.2,43.2,8
3337,3337,2023-02-04,C,Colorado St.,MWC,Utah St.,H,"L, 88-79",120.8,115,68.9,114.7,57.8,11.6,14.3,24.1,127.7,66.7,17.4,24.1,26.3,63.7,-5
5972,5972,2023-02-04,C,Texas St.,SB,Troy,A,"L, 68-64",98.7,115.4,63,101.5,48.1,20.6,36.4,38.5,107.9,52.8,23.8,39.4,34,14.2,-12
10767,10767,2023-02-04,C,VMI,SC,Mercer,A,"L, 80-54",89.8,122.9,65.5,82.4,49,29,20.7,12,122.1,54.5,3.1,24.4,19.4,2.6,-9
5730,5730,2023-02-04,C,Georgia Southern,SB,Old Dominion,A,"L, 64-58",92,94.6,66.6,87.1,34.7,16.5,30.6,42.4,96.1,36.5,13.5,21.6,53.8,42,1
2393,2393,2023-02-04,C,Florida,SEC,Kentucky,A,"L, 72-67",108.5,101.7,64.1,104.5,47.3,14,24.2,30.9,112.3,49.2,14,37.1,21,67.7,-7
1409,1409,2023-02-04,C,Illinois,B10,Iowa,A,"L, 81-79",121.3,103.1,66.6,118.6,55.5,21,41.9,41.8,121.6,51.9,10.5,25,56.6,86.7,1
3483,3483,2023-02-04,C,Cal St. Fullerton,BW,UC Riverside,H,"W, 64-58",92.2,88.4,66.7,95.9,58.5,22.5,0,63.4,86.9,42,16.5,25.6,30.4,61.8,1
7460,7460,2023-02-04,C,Northern Illinois,MAC,Bowling Green,A,"W, 86-78",118.2,110,69.7,123.3,61.7,11.5,25.8,28.3,111.8,52.5,15.8,31.6,39.3,69.5,8
274,274,2023-02-04,C,Arizona,P12,Oregon St.,H,"W, 84-52",125.2,89.2,65.6,128,55,18.3,48.6,43.3,79.3,41.1,22.9,21.2,55.6,98,14
1136,1136,2023-02-04,C,Cincinnati,Amer,UCF,H,"W, 73-64",106,83.6,73.4,99.4,49.2,17.7,25.7,25.8,87.2,51.9,32.7,33.3,20.4,93.9,7
8852,8852,2023-02-04,C,Arkansas St.,SB,Coastal Carolina,H,"W, 73-57",95.9,92,66.2,110.3,52,12.1,18.8,58,86.1,40.9,22.7,30.6,29.1,61.6,4
10329,10329,2023-02-04,C,Holy Cross,Pat,Navy,H,"L, 86-68",101.8,122,70.3,96.7,45.7,14.2,21.1,32.8,122.4,50.7,14.2,44.4,26.1,11.1,-3
4075,4075,2023-02-04,C,Eastern Washington,BSky,Portland St.,A,"W, 98-88",122.4,112.8,78.5,124.8,73.5,21.7,22.7,60.8,112.1,49.3,8.9,21.4,41.2,71.9,6
9186,9186,2023-02-04,C,South Dakota,Sum,North Dakota,H,"L, 86-72",92.7,123.6,71.5,100.7,43.5,12.6,21.6,32.3,120.3,60.5,14,18.8,35.1,3.6,-9
6120,6120,2023-02-04,C,Pepperdine,WCC,Portland,H,"W, 94-93",101,102.3,70.4,106.9,49.4,20.5,40.4,29.1,105.7,47,19.3,35.7,60.6,46.3,-1
4942,4942,2023-02-04,C,UC Riverside,BW,Cal St. Fullerton,A,"L, 64-58",94.9,93.1,66.7,86.9,42,16.5,25.6,30.4,95.9,58.5,22.5,0,63.4,55.6,-1
4485,4485,2023-02-04,C,Eastern Kentucky,ASun,Kennesaw St.,H,"W, 77-74",105.1,103.5,72.8,105.7,48.2,17.8,21.9,49.1,101.6,50.9,23.3,36.1,44.6,54.4,-4
8234,8234,2023-02-04,C,Lafayette,Pat,Lehigh,H,"L, 66-64",85.9,109.3,68.7,93.2,42.9,16,23.7,41.1,96.1,46.2,14.6,14.7,41.5,5.9,-8
10317,10317,2023-02-04,C,Central Michigan,MAC,Toledo,A,"L, 84-59",82.4,107.8,67.9,86.9,57.9,30.9,13,68.4,123.7,54.9,11.8,31.4,32.8,4.3,-18
1397,1397,2023-02-04,C,Drake,MVC,Valparaiso,A,"W, 85-82",99.9,106.8,66.1,103,46.2,17,25,50.8,99.3,47.7,13.3,13.2,33.8,31.7,-4
4954,4954,2023-02-04,C,Cornell,Ivy,Penn,A,"L, 92-86",118.3,116.4,73.7,116.7,53.4,8.1,28.3,17.6,124.9,60.8,19,38.5,53.3,54.8,-2
10114,10114,2023-02-04,C,Incarnate Word,Slnd,New Orleans,A,"W, 78-70",108.5,111,67.1,116.2,57.8,22.3,33.3,64.4,104.3,48.3,23.8,41.7,34.5,43.3,3
2075,2075,2023-02-04,C,Villanova,BE,Creighton,A,"L, 66-61",108.7,94,63.2,96.5,45.9,19,22.6,40.8,104.4,44.3,15.8,30.6,43.4,84.1,-3
7042,7042,2023-02-04,C,Campbell,BSth,Longwood,A,"L, 74-50",78.4,111,66,75.8,39.3,21.2,24.4,21.4,112.1,60.9,21.2,25.9,16.4,1.8,-14
6404,6404,2023-02-04,C,Florida St.,ACC,Louisville,A,"W, 81-78",117.2,110.2,69.1,117.2,54.8,11.6,26.5,30.6,112.8,54.8,15.9,30.3,17.7,67.2,9
1174,1174,2023-02-04,C,Rutgers,B10,Michigan St.,H,"W, 61-55",95.5,80.1,66.4,91.9,40.6,16.6,20.5,70.8,82.8,37.9,21.1,33.3,24.1,88.3,0
7234,7234,2023-02-04,C,Northern Colorado,BSky,Montana St.,A,"L, 75-62",103.7,121.9,62,100,50,19.4,19.4,41.7,121,58.8,12.9,28.6,39.2,13.4,-13
1659,1659,2023-02-04,C,Washington St.,P12,UCLA,A,"L, 76-52",101.6,102,64.9,80.1,39.1,23.1,28.9,25.5,117,55.6,15.4,38.2,17.7,48.9,-8
6626,6626,2023-02-04,N,Norfolk St.,MEAC,Hampton,N,"W, 83-71",105.7,114.5,68.9,120.5,57.9,14.5,23.3,35.1,103.1,59.6,20.3,11.5,21.2,28.3,2
10160,10160,2023-02-04,C,Austin Peay,ASun,Queens,H,"L, 70-69",88.5,92.7,74.5,92.6,49.2,18.8,19.4,21.3,94,48,24.2,25,56.9,36.9,2
8867,8867,2023-02-04,C,Illinois St.,MVC,Belmont,A,"L, 90-75",114.6,132.6,64.1,117,59.8,17.2,26.7,19.6,140.4,57.8,12.5,51.5,29.7,15.7,-12
5757,5757,2023-02-04,C,Harvard,Ivy,Brown,H,"L, 68-65",92.9,104.2,70.2,92.5,43.4,17.1,25,26.2,96.8,51,19.9,16.7,51,20.9,-5
2997,2997,2023-02-04,C,Furman,SC,Wofford,H,"W, 80-67",113.3,96.5,65.7,121.8,54.5,9.1,33.3,13.6,102,57,22.8,20.7,34,86.4,13
10002,10002,2023-02-04,C,Central Arkansas,ASun,Stetson,A,"L, 99-80",108,128.4,70.4,113.6,53.2,8.5,17.6,27.4,140.6,66.4,18.5,46.7,14.9,12,-10
4872,4872,2023-02-04,C,Northern Kentucky,Horz,Youngstown St.,A,"L, 74-56",96.5,114.2,58.5,95.8,37.3,10.3,30,22,126.6,65.7,17.1,34.8,19.6,12.6,-6
7990,7990,2023-02-04,C,Southeastern Louisia,Slnd,Texas A&M Corpus Chr,H,"L, 83-72",93.8,120.1,71.1,101.2,46.2,12.7,17.6,58.5,116.7,50.7,16.9,42.1,26.9,5.5,-12
4886,4886,2023-02-04,C,Youngstown St.,Horz,Northern Kentucky,H,"W, 74-56",123.5,102.7,58.5,126.6,65.7,17.1,34.8,19.6,95.8,37.3,10.3,30,22,89.3,6
6908,6908,2023-02-04,C,Oregon St.,P12,Arizona,A,"L, 84-52",91.2,106.4,65.6,79.3,41.1,22.9,21.2,55.6,128,55,18.3,48.6,43.3,14.4,-14
6098,6098,2023-02-04,C,Old Dominion,SB,Georgia Southern,H,"W, 64-58",94.7,94.9,66.6,96.1,36.5,13.5,21.6,53.8,87.1,34.7,16.5,30.6,42.4,49.5,-1
2176,2176,2023-02-04,C,Sam Houston St.,WAC,UT Arlington,A,"L, 70-58",96.7,117,61.3,94.6,39.7,21.2,39,27.6,114.2,62,21.2,36,45.7,10.1,-6
4109,4109,2023-02-04,C,Hawaii,BW,Cal Poly,A,"W, 69-56",109,97,64.3,107.3,47.9,15.6,20,50,87.1,41.5,12.4,6.2,24.5,79.4,7
4403,4403,2023-02-04,C,Samford,SC,East Tennessee St.,H,"W, 73-62",106.1,91.3,68.6,106.4,42.7,16,35.1,60,90.3,48.1,27.7,34.3,29.6,85,12
6646,6646,2023-02-04,C,South Carolina,SEC,Arkansas,H,"L, 65-63",109.2,101.9,61.9,101.8,47.4,16.2,37.1,24.1,105,50.9,17.8,32.3,23.6,69,-5
9146,9146,2023-02-04,C,Charleston Southern,BSth,High Point,A,"L, 81-73",109,124.3,65.7,111.1,51.7,15.2,31.4,31,123.3,50,15.2,47.5,43.5,18,0
2422,2422,2023-02-04,C,BYU,WCC,Pacific,H,"W, 81-66",109.5,93,70.6,114.7,51.6,12.7,34.1,42.9,93.5,44.2,25.5,33.3,46.2,86.7,7
8831,8831,2023-02-04,C,American,Pat,Colgate,H,"W, 61-60",90.6,89.5,64.3,94.9,57.1,29.5,29.2,12.2,93.3,47.3,21.8,29,18.2,53.5,-4
5023,5023,2023-02-04,C,Seattle,WAC,New Mexico St.,A,"L, 82-75",97,108.4,76,98.7,44.4,13.2,27.8,19.7,107.9,60,19.7,14.3,52,21.8,-6
4029,4029,2023-02-04,C,Middle Tennessee,CUSA,UTSA,H,"W, 84-59",103.4,92,71.8,117,50.7,16.7,47.6,23.6,82.2,42.7,27.9,33.3,32.7,79.4,5
8984,8984,2023-02-04,C,Coastal Carolina,SB,Arkansas St.,A,"L, 73-57",87.5,110.4,66.2,86.1,40.9,22.7,30.6,29.1,110.3,52,12.1,18.8,58,6.5,-4
2019,2019,2023-02-04,C,UCF,Amer,Cincinnati,A,"L, 73-64",93.6,92,73.4,87.2,51.9,32.7,33.3,20.4,99.4,49.2,17.7,25.7,25.8,54.9,-7
3528,3528,2023-02-04,C,Washington,P12,USC,A,"L, 80-74",107.6,95.8,75.4,98.1,49.1,19.9,21.9,45.5,106.1,47.7,14.6,28.6,32.3,79.2,-1
5681,5681,2023-02-04,C,St. Bonaventure,A10,Dayton,H,"W, 68-59",115.2,93.4,61.5,110.5,52.9,11.4,29,36.5,95.9,42.9,14.6,32.1,30.4,91.8,4
678,678,2023-02-04,C,Kansas St.,B12,Texas,H,"L, 69-66",107.2,87.5,70.4,93.7,50,27,27.6,40,97.9,49,24.1,28.1,47.1,91.1,3
9673,9673,2023-02-04,C,Wagner,NEC,Fairleigh Dickinson,A,"W, 83-79",113.5,123.5,63.9,130,65.1,18.8,34.6,32.1,123.7,67,12.5,4,28,27.4,-4
6674,6674,2023-02-04,C,Massachusetts,A10,Davidson,H,"L, 93-78",114,131.3,68.9,113.2,55.9,11.6,17.2,23.7,135,67.8,14.5,28,25.4,16.5,-6
2193,2193,2023-02-04,C,Oral Roberts,Sum,UMKC,A,"W, 85-57",117.2,96.5,68.1,124.9,60.3,19.1,45.2,19,83.8,34.2,19.1,37.2,40,90.4,10
10371,10371,2023-02-04,C,Columbia,Ivy,Princeton,A,"L, 88-66",88.2,111.7,76,86.9,44.4,17.1,17.9,29,115.8,50.7,14.5,37.2,34.8,6.2,-15
4007,4007,2023-02-04,C,Tarleton St.,WAC,UT Rio Grande Valley,H,"L, 68-65",88.6,104,68.1,95.4,42,14.7,17.1,62,99.8,54.1,23.5,24.1,40.8,13.8,-3
9960,9960,2023-02-04,C,McNeese St.,Slnd,Texas A&M Commerce,A,"L, 60-58",84,92.9,65.5,88.5,36.6,12.2,26.8,48.2,91.6,42.9,16.8,23.5,23.2,23.9,1
7883,7883,2023-02-04,C,Alcorn St.,SWAC,Arkansas Pine Bluff,H,"W, 70-67",110.2,110.1,64.4,108.7,48.3,20.2,44.1,31,104.1,55.7,17.1,15.2,20.8,50.4,10
5056,5056,2023-02-04,C,Pacific,WCC,BYU,A,"L, 81-66",102.2,107.7,70.6,93.5,44.2,25.5,33.3,46.2,114.7,51.6,12.7,34.1,42.9,35.2,-7
2455,2455,2023-02-04,C,Santa Clara,WCC,San Francisco,A,"W, 83-70",112.2,85.1,76.9,107.9,50.8,19.5,34.2,34.4,91,43,11.7,17.5,37.5,96,9
2886,2886,2023-02-04,C,Indiana St.,MVC,Murray St.,H,"W, 99-56",128,94.3,67.4,146.8,71.5,5.9,23.1,12.3,83,42.2,17.8,10.3,33.3,97.1,10
9967,9967,2023-02-04,C,Cal St. Northridge,BW,UC Santa Barbara,H,"W, 72-67",109.5,104.3,62.7,114.9,53,17.6,28.6,40,106.9,37.5,11.2,44.7,42.2,63.6,0
3249,3249,2023-02-04,C,Southern Miss,SB,Georgia St.,A,"W, 79-71",106.4,106.5,72,109.8,52.5,9.7,18.2,42.4,98.6,49.2,20.8,27.8,28.8,49.7,2
4042,4042,2023-02-04,C,Davidson,A10,Massachusetts,A,"W, 93-78",136,118.6,68.9,135,67.8,14.5,28,25.4,113.2,55.9,11.6,17.2,23.7,83,6
2931,2931,2023-02-04,C,South Alabama,SB,Louisiana Monroe,A,"W, 72-64",109.5,96.3,68,105.9,50,13.2,21.9,37.5,94.1,42.9,11.8,14.3,33.9,81.4,9
7939,7939,2023-02-04,C,SIU Edwardsville,OVC,Little Rock,A,"W, 84-81",114.6,115.5,69.3,121.3,64.9,14.4,25,31.6,116.9,47.8,13,38.6,30.9,47.7,7
419,419,2023-02-04,C,Creighton,BE,Villanova,H,"W, 66-61",107.3,90.8,63.2,104.4,44.3,15.8,30.6,43.4,96.5,45.9,19,22.6,40.8,87.2,3
7056,7056,2023-02-04,C,Rice,CUSA,North Texas,H,"L, 74-64",111.4,114.8,62.5,102.5,52.9,11.2,16.1,35.3,118.5,58.3,19.2,32.1,54.2,41.5,-5
5939,5939,2023-02-04,C,St. Thomas,Sum,Denver,A,"W, 68-57",100.3,91.3,65,104.6,53.6,15.4,20,27.3,87.7,35.2,20,33.3,42.6,74.6,5
6135,6135,2023-02-04,C,Abilene Christian,WAC,Cal Baptist,A,"W, 87-71",131.5,115,65.4,133,62.5,16.8,34.6,48.1,108.6,52.8,19.9,36.4,43.4,82.4,1
8504,8504,2023-02-04,C,Denver,Sum,St. Thomas,H,"L, 68-57",84.8,102.8,65,87.7,35.2,20,33.3,42.6,104.6,53.6,15.4,20,27.3,9.8,-5
9201,9201,2023-02-04,C,Western Illinois,Sum,Nebraska Omaha,A,"W, 75-72",107.5,119.1,64.3,116.6,53.3,14,34.3,26.7,112,56.6,17.1,32.1,35.8,23.5,-4
1696,1696,2023-02-04,C,Oklahoma,B12,West Virginia,A,"L, 93-61",92.8,108.9,73.6,82.9,41.5,21.7,30,37.3,126.4,53.9,13.6,39.5,48.4,13.8,-15
3505,3505,2023-02-04,C,Southern Utah,WAC,Utah Tech,A,"L, 86-79",105.2,117.3,72.7,108.7,51.7,22,32.4,39.7,118.4,60.9,17.9,23.3,43.6,22.2,-11
8241,8241,2023-02-04,C,Nicholls St.,Slnd,Houston Christian,A,"W, 92-91",113.3,127,72.3,127.3,56.2,11.1,38.5,17.8,125.9,61.4,23.5,40.6,42.1,21.2,3
9771,9771,2023-02-04,C,NJIT,AE,UMass Lowell,A,"L, 90-61",96,126.1,66.9,91.2,45.7,16.4,25.7,24.1,134.6,60.9,12,40,23.4,4.2,-14
7315,7315,2023-02-04,C,Delaware,CAA,College of Charlesto,H,"L, 84-67",106.4,116.1,67.8,98.8,43.2,17.7,28.6,27.1,123.9,53,13.3,41.9,28.4,27,-6
1093,1093,2023-02-04,C,Florida Atlantic,CUSA,Charlotte,A,"W, 67-52",118.1,90.7,57,117.5,64.9,19.3,19,17,91.2,46.7,15.8,10.7,19.6,95.4,5
4988,4988,2023-02-04,C,SMU,Amer,East Carolina,A,"L, 77-72",104.8,115.1,69,104.4,46,14.5,28.9,30.6,111.6,51.8,15.9,29.4,41.1,25.4,-6
9656,9656,2023-02-04,C,Arkansas Pine Bluff,SWAC,Alcorn St.,A,"L, 70-67",96.4,116.7,64.4,104.1,55.7,17.1,15.2,20.8,108.7,48.3,20.2,44.1,31,10,-10
1466,1466,2023-02-04,C,UAB,CUSA,FIU,H,"W, 76-72",98.4,92.2,77.8,97.6,53.3,28.3,36.4,26.7,92.5,48.4,16.7,17.1,26.6,67.8,8
7919,7919,2023-02-04,C,UT Rio Grande Valley,WAC,Tarleton St.,A,"W, 68-65",106.1,93.7,68.1,99.8,54.1,23.5,24.1,40.8,95.4,42,14.7,17.1,62,80.7,3
6500,6500,2023-02-04,C,San Diego,WCC,Loyola Marymount,H,"W, 87-79",123.9,115,68.4,127.2,62.5,19,22.2,68.8,115.5,54.6,16.1,43.6,23.1,70.1,1
8278,8278,2023-02-04,C,Bowling Green,MAC,Northern Illinois,H,"L, 86-78",106.9,131.7,69.7,111.8,52.5,15.8,31.6,39.3,123.3,61.7,11.5,25.8,28.3,8.3,-8
10909,10909,2023-02-04,C,Delaware St.,MEAC,Morgan St.,N,"L, 75-65",82.8,108.2,77.5,83.9,44.5,27.1,30.6,45.5,96.8,42.9,14.2,34.7,19.5,4.4,-6
660,660,2023-02-04,C,Auburn,SEC,Tennessee,A,"L, 46-43",77.5,63.6,66.6,64.6,26.4,18,20,34.5,69.1,28.6,13.5,30.6,27,90.7,-2
3207,3207,2023-02-04,C,Vermont,AE,Albany,A,"W, 87-68",123,104,66.5,130.9,72.3,15,17.4,14.3,102.3,53.9,19.6,14.8,29.4,87.4,17
4532,4532,2023-02-04,C,Notre Dame,ACC,Wake Forest,H,"L, 81-64",97.4,104.5,70,91.4,40.8,5.7,21.3,14.1,115.7,65.5,20,14.8,20,31,-2
498,498,2023-02-04,C,Xavier,BE,St. John's,H,"W, 96-71",138.2,94.5,73.3,131,66.9,15,23.3,39,96.9,44.9,13.6,31.8,23.2,98.7,17
3110,3110,2023-02-04,C,San Jose St.,MWC,Wyoming,H,"W, 84-64",125.7,100.1,64.4,130.5,67,21.8,40,28.3,99.4,49,26.4,38.7,30.8,93.2,9
10233,10233,2023-02-04,C,Sacred Heart,NEC,Central Connecticut,H,"W, 78-65",108.7,114,63.9,122.1,61.8,14.1,32,27.3,101.8,44.5,18.8,45.2,25,36.5,5
2252,2252,2023-02-04,C,College of Charlesto,CAA,Delaware,A,"W, 84-67",119.4,103,67.8,123.9,53,13.3,41.9,28.4,98.8,43.2,17.7,28.6,27.1,84.5,6
7002,7002,2023-02-04,C,Northwestern St.,Slnd,Lamar,A,"W, 72-68",101.1,112.4,65.9,109.2,60,18.2,14.3,30,103.2,50.9,19.7,28.6,20.7,22.9,2
7362,7362,2023-02-04,C,Army,Pat,Bucknell,A,"L, 73-67",94.6,114,67.8,98.8,47,16.2,36.8,16.7,107.6,52.9,14.7,17.9,47.1,10.5,-6
8950,8950,2023-02-04,C,Southern,SWAC,Alabama A&M,A,"L, 82-61",87.7,129.9,68.1,89.6,47.9,25,16.7,38.3,120.5,71,22,26.3,32,1.1,-14
8376,8376,2023-02-04,C,UTSA,CUSA,Middle Tennessee,A,"L, 84-59",91.4,108.1,71.8,82.2,42.7,27.9,33.3,32.7,117,50.7,16.7,47.6,23.6,12.7,-5
4271,4271,2023-02-04,C,Stephen F. Austin,WAC,Grand Canyon,A,"L, 86-83",113.6,112,71.6,115.9,53.4,16.8,33.3,39.7,120.1,60.6,21,30,57.7,54.2,-4
1547,1547,2023-02-04,C,North Texas,CUSA,Rice,A,"W, 74-64",112.7,100.4,62.5,118.5,58.3,19.2,32.1,54.2,102.5,52.9,11.2,16.1,35.3,79.2,5
4706,4706,2023-02-04,C,Troy,SB,Texas St.,H,"W, 68-64",111.7,95.7,63,107.9,52.8,23.8,39.4,34,101.5,48.1,20.6,36.4,38.5,85.5,12
6440,6440,2023-02-04,C,Northern Iowa,MVC,Bradley,H,"L, 77-69",110.6,116.8,65.7,105.1,53.9,16.8,18.5,35.3,117.3,70.6,22.8,17.9,19.6,34.7,-6
7268,7268,2023-02-04,C,Jacksonville St.,ASun,Bellarmine,A,"L, 71-64",92.1,105.8,67.6,94.7,49,22.2,28.1,54.2,105,58,25.1,14.8,56.8,16.8,-4
5835,5835,2023-02-04,C,Buffalo,MAC,Western Michigan,A,"W, 85-76",108.7,107.7,71.4,119,56.9,18.2,43.8,48.3,106.4,52.4,18.2,27,25.8,52.6,6
4338,4338,2023-02-04,C,Ohio,MAC,Miami OH,H,"W, 78-68",106.8,104.9,67.4,115.8,48.3,10.4,30.3,43.1,100.9,45.5,16.3,27.8,45.5,55.1,5
8393,8393,2023-02-04,C,Louisville,ACC,Florida St.,H,"L, 81-78",104,124,69.1,112.8,54.8,15.9,30.3,17.7,117.2,54.8,11.6,26.5,30.6,11.7,-9
8909,8909,2023-02-04,C,Texas Southern,SWAC,Florida A&M,H,"L, 76-69",98.8,131.5,67.2,102.6,48.1,16.4,25.7,44.4,113,57.3,19.3,28.1,30.9,3.6,-2
182,182,2023-02-04,C,Purdue,B10,Indiana,A,"L, 79-74",120.6,113.8,64.8,114.2,56.1,24.7,54.8,29.8,121.9,56.1,12.3,27.6,31.6,66.1,-8
1593,1593,2023-02-04,C,North Carolina St.,ACC,Georgia Tech,H,"W, 72-64",103.5,98.9,68,105.9,47.6,13.2,30.8,27.4,94.2,50.8,25,29.4,10.2,62.9,1
460,460,2023-02-04,C,Marquette,BE,Butler,H,"W, 60-52",98.9,81.1,65.7,91.3,53.1,19.8,10.3,31.2,79.1,46,28.9,19.4,14,90.8,8
8118,8118,2023-02-04,C,North Dakota,Sum,South Dakota,A,"W, 86-72",112.9,101.3,71.5,120.3,60.5,14,18.8,35.1,100.7,43.5,12.6,21.6,32.3,77.5,9
